Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-12-05,18.134768697299386,18.213622091583854,17.937159966997577,17.984344482421875,447580000,0.0,0.0
2013-12-06,17.917525980378,17.94792810673737,17.72055145609171,17.734800338745117,344352400,0.0,0.0
2013-12-09,17.762666736169407,18.03754582929052,17.762666736169407,17.93779182434082,320493600,0.0,0.0
2013-12-10,17.847539878051126,17.983713532234194,17.77216878536559,17.90992546081543,278269600,0.0,0.0
2013-12-11,17.95583835375991,18.0815616538652,17.724345255770864,17.77722930908203,359718800,0.0,0.0
2013-12-12,17.801936685302223,17.90327371439854,17.735116619836646,17.751266479492188,262290000,0.0,0.0
2013-12-13,17.824417681923222,17.825368170956917,17.53370502980424,17.557771682739258,332822000,0.0,0.0
2013-12-16,17.576461426159472,17.81777239051014,17.57614516015115,17.654996871948242,282592800,0.0,0.0
2013-12-17,17.60147575143449,17.716430816341305,17.524521648031143,17.57550811767578,229902400,0.0,0.0
2013-12-18,17.407991012991197,17.463410303547946,17.06280771330701,17.441875457763672,565863200,0.0,0.0
2013-12-19,17.401650305352344,17.41748389884564,17.218924683198004,17.242042541503906,320308800,0.0,0.0
2013-12-20,17.27275960203495,17.468469026402467,17.253442010604697,17.38644790649414,436413600,0.0,0.0
2013-12-23,17.987511954145987,18.073649620229133,17.821572089517094,18.053699493408203,501306400,0.0,0.0
2013-12-24,18.047366515564356,18.110386323845923,17.925127164934576,17.97706413269043,167554800,0.0,0.0
2013-12-26,17.990683406467163,18.035019849558868,17.84120963799702,17.857677459716797,204008000,0.0,0.0
2013-12-27,17.85513756615695,17.873820934905943,17.718331401758817,17.737014770507812,225884400,0.0,0.0
2013-12-30,17.653730739236376,17.737016935156525,17.49095523052819,17.560625076293945,253629600,0.0,0.0
2013-12-31,17.54954171988388,17.774701111143777,17.54415674191653,17.766468048095703,223084400,0.0,0.0
2014-01-02,17.59736549672604,17.64011722788907,17.48145990134411,17.516611099243164,234684800,0.0,0.0
2014-01-03,17.508055653722874,17.53465581959523,17.1144195393858,17.131837844848633,392467600,0.0,0.0
2014-01-06,17.020050507869666,17.316146508724117,16.898127431332902,17.22525978088379,412610800,0.0,0.0
2014-01-07,17.237611189831753,17.289546463252954,17.034935425829655,17.10207176208496,317209200,0.0,0.0
2014-01-08,17.06312612198827,17.276886511157628,17.05932754587071,17.210384368896484,258529600,0.0,0.0
2014-01-09,17.316150199748712,17.318051178625648,16.953550317809313,16.990602493286133,279148800,0.0,0.0
2014-01-10,17.095418954980754,17.12613734471326,16.81927309588565,16.877225875854492,304976000,0.0,0.0
2014-01-13,16.781271348054116,17.179972790207465,16.78032085891561,16.965579986572266,378492800,0.0,0.0
2014-01-14,17.044434282655068,17.31393010171132,17.02669971034937,17.303163528442383,332561600,0.0,0.0
2014-01-15,17.52896664390084,17.740509797314477,17.470063342437058,17.650571823120117,391638800,0.0,0.0
2014-01-16,17.572662599490428,17.634415656750775,17.470689635492526,17.552078247070312,229278000,0.0,0.0
2014-01-17,17.46435800377971,17.483041377955754,17.097639916881413,17.122024536132812,426739600,0.0,0.0
2014-01-21,17.13216098321556,17.419707741584407,17.114110138591894,17.38804054260254,328526800,0.0,0.0
2014-01-22,17.446305905605065,17.648347463052723,17.34813490358261,17.465307235717773,379985200,0.0,0.0
2014-01-23,17.415586669478817,17.62332946154839,17.253129110208693,17.613195419311523,403239200,0.0,0.0
2014-01-24,17.544154877974588,17.595457611739377,17.251224961263002,17.293027877807617,429354800,0.0,0.0
2014-01-27,17.419706553064955,17.569496588360245,17.282900339068366,17.43332290649414,554878800,0.0,0.0
2014-01-28,16.111491851282615,16.30910060289467,15.89963083420009,16.0399227142334,1065523200,0.0,0.0
2014-01-29,15.959160144562889,16.06746512948248,15.790368893978158,15.857821464538574,502810000,0.0,0.0
2014-01-30,15.914516627161186,16.03992371755395,15.729575416890931,15.827112197875977,678501600,0.0,0.0
2014-01-31,15.681436785075212,15.882529524411042,15.629817778529691,15.85307788848877,464797200,0.0,0.0
2014-02-03,15.91673260467615,16.07887389663529,15.811911565841859,15.882530212402344,401464000,0.0,0.0
2014-02-04,16.019338031704322,16.133660592342178,15.921483291247112,16.112442016601562,376681200,0.0,0.0
2014-02-05,16.041821750382933,16.31796763445239,16.032003974215762,16.23278045654297,328344800,0.0,0.0
2014-02-06,16.249345335875564,16.358936676063202,16.17766426600698,16.327396392822266,257765200,0.108929,0.0
2014-02-07,16.609973240521953,16.65935254664035,16.48254288288643,16.555814743041992,370280400,0.0,0.0
2014-02-10,16.52331331816396,16.947977221105262,16.502287606872855,16.85240364074707,345559200,0.0,0.0
2014-02-11,16.90402696066677,17.131490358275276,16.86866365279506,17.074466705322266,282256800,0.0,0.0
2014-02-12,17.106003409770747,17.189151835475858,16.987811540627842,17.07318878173828,308100800,0.0,0.0
2014-02-13,17.03304967364852,17.357680923055398,17.018395636253384,17.344301223754883,307398000,0.0,0.0
2014-02-14,17.281851455877238,17.39367330104513,17.2417123747014,17.33027458190918,272924400,0.0,0.0
2014-02-18,17.39431725891577,17.55965795160429,17.38189203686695,17.393999099731445,260251600,0.0,0.0
2014-02-19,17.354498055797425,17.422674308207313,17.02317858503205,17.119388580322266,313768000,0.0,0.0
2014-02-20,16.979844342101902,17.107594586843273,16.852732116988403,16.921226501464844,305858000,0.0,0.0
2014-02-21,16.97347551191184,17.030182705988903,16.712561169262756,16.73326873779297,278784800,0.0,0.0
2014-02-24,16.6663655680119,16.882041720881002,16.643109327459953,16.806537628173828,288909600,0.0,0.0
2014-02-25,16.864838193042825,16.870890021533103,16.59787037969819,16.63163948059082,231952000,0.0,0.0
2014-02-26,16.681014104442045,16.7252960543532,16.42583356210235,16.481584548950195,276217200,0.0,0.0
2014-02-27,16.47490153098325,16.84572537203661,16.440176246767777,16.81036376953125,301882000,0.0,0.0
2014-02-28,16.855277501073417,16.97219670177905,16.633547859141515,16.764802932739258,371968800,0.0,0.0
2014-03-03,16.674963614753732,16.905295469727196,16.655530390638422,16.8132266998291,238781200,0.0,0.0
2014-03-04,16.916447014178754,16.968693159299942,16.81354551935413,16.924091339111328,259140000,0.0,0.0
2014-03-05,16.91389955750559,17.0359127241463,16.85687251509458,16.959774017333984,200062800,0.0,0.0
2014-03-06,16.9734730367065,17.026039049689125,16.82406074617996,16.908483505249023,185488800,0.0,0.0
2014-03-07,16.91931481781276,16.947668408353202,16.7587516587079,16.89860725402832,220729600,0.0,0.0
2014-03-10,16.832342554720515,16.990675189482964,16.831704535163066,16.913898468017578,178584000,0.0,0.0
2014-03-11,17.05821794412462,17.16302842224725,16.967103622826937,17.07860565185547,279224400,0.0,0.0
2014-03-12,17.028268882456757,17.118743466872537,16.948305458552486,17.095169067382812,199326400,0.0,0.0
2014-03-13,17.12161047724378,17.19233366941032,16.857827670433245,16.905296325683594,257742800,0.0,0.0
2014-03-14,16.846042780871077,16.91294467039111,16.66158704738055,16.71542739868164,237199200,0.0,0.0
2014-03-17,16.81131912554605,16.883634824127896,16.75238142286927,16.78073501586914,199544800,0.0,0.0
2014-03-18,16.753972488747873,16.947348570229906,16.731672428039563,16.929189682006836,209647200,0.0,0.0
2014-03-19,16.95658683472987,17.08337917714366,16.852729167191463,16.924728393554688,224756000,0.0,0.0
2014-03-20,16.88108425303765,16.96964987667401,16.800166357347607,16.84317398071289,208398400,0.0,0.0
2014-03-21,16.946070916676028,17.004052424281117,16.767668764531106,16.976016998291016,374046400,0.0,0.0
2014-03-24,17.152835673852355,17.219099553080223,17.045792975785204,17.177366256713867,355700800,0.0,0.0
2014-03-25,17.250954692051085,17.38634925985586,17.190104634654816,17.362136840820312,282293200,0.0,0.0
2014-03-26,17.410875257503374,17.489882481658807,17.16684557943171,17.19615364074707,299768000,0.0,0.0
2014-03-27,17.203799780944312,17.250950269082523,17.047697688544332,17.122243881225586,222031600,0.0,0.0
2014-03-28,17.14964855100975,17.169399940200346,17.01998763113497,17.10313606262207,200564000,0.0,0.0
2014-03-31,17.178637232377522,17.228972726336963,17.07350521132828,17.09931182861328,168669200,0.0,0.0
2014-04-01,17.131804358358103,17.262741291232437,17.100265773856073,17.2557315826416,200760000,0.0,0.0
2014-04-02,17.278989243890976,17.31403268557187,17.211451036338183,17.284404754638672,180420800,0.0,0.0
2014-04-03,17.247457369841275,17.282818984415297,17.12799112222079,17.164627075195312,162344000,0.0,0.0
2014-04-04,17.19711403360293,17.203165862213535,16.903066961600224,16.942569732666016,275251200,0.0,0.0
2014-04-07,16.821506637957743,16.91325723566142,16.626219947523907,16.67655372619629,289850400,0.0,0.0
2014-04-08,16.731362525948654,16.760990468942396,16.524604944897273,16.67561149597168,243888400,0.0,0.0
2014-04-09,16.650120924841318,16.90020425378077,16.630369534485244,16.89478874206543,206169600,0.0,0.0
2014-04-10,16.906255845174368,16.955955031628434,16.667005244429532,16.676881790161133,239652000,0.0,0.0
2014-04-11,16.53415203412682,16.656168591280395,16.474897883923408,16.553586959838867,271717600,0.0,0.0
2014-04-14,16.626543453908695,16.63482579954759,16.477131163580758,16.619535446166992,205674000,0.0,0.0
2014-04-15,16.57461407021725,16.61825801280272,16.28980552893696,16.501022338867188,266490000,0.0,0.0
2014-04-16,16.503895023427717,16.600743028432383,16.379331437699513,16.53447914123535,214765600,0.0,0.0
2014-04-17,16.566008426207226,16.813224802052453,16.54052167569167,16.723384857177734,284334400,0.0,0.0
2014-04-21,16.73613368577955,16.952766031594145,16.69216987750755,16.921865463256836,182548800,0.0,0.0
2014-04-22,16.830750453370715,16.942890486144645,16.7730887906628,16.938749313354492,202563200,0.0,0.0
2014-04-23,16.85464357541273,16.920589280631322,16.70777827045467,16.717336654663086,394940000,0.0,0.0
2014-04-24,18.10187210034657,18.15889743748328,17.863576050002933,18.087854385375977,759911600,0.0,0.0
2014-04-25,17.984637757261975,18.22229582804021,17.966480568363057,18.220705032348633,390275200,0.0,0.0
2014-04-28,18.24810097185422,18.979235716741858,18.24013508434008,18.92635154724121,669485600,0.0,0.0
2014-04-29,18.91519929224392,18.986560504491443,18.780441053299036,18.87027931213379,337377600,0.0,0.0
2014-04-30,18.880161270840635,19.096475486031203,18.78968496648792,18.79892349243164,456640800,0.0,0.0
2014-05-01,18.859769189975903,18.948971143585894,18.680092646213165,18.843204498291016,244048000,0.0,0.0
2014-05-02,18.87060198116015,18.929857844356857,18.786815538097528,18.878246307373047,191514400,0.0,0.0
2014-05-05,18.800509409739412,19.146484397697563,18.796048377629955,19.14520835876465,287067200,0.0,0.0
2014-05-06,19.17197386162789,19.255122279026633,18.936546325683594,18.936546325683594,374564400,0.0,0.0
2014-05-07,18.963304266019914,19.028293789550204,18.7237338744084,18.87027931213379,282864400,0.0,0.0
2014-05-08,18.84497563999806,19.042316388937046,18.785710454611337,18.836647033691406,230297200,0.1175,0.0
2014-05-09,18.726119438561053,18.780900372364577,18.591248399719568,18.758155822753906,291597600,0.0,0.0
2014-05-12,18.820625390576225,19.01828431962783,18.81774083284766,18.991695404052734,213208800,0.0,0.0
2014-05-13,18.965105861477983,19.04647571522124,18.92346112619698,19.021488189697266,159737200,0.0,0.0
2014-05-14,18.97888038165282,19.138097356829146,18.95677570494316,19.02501106262207,166404000,0.0,0.0
2014-05-15,19.05160217539204,19.112468738760732,18.838244134818172,18.863231658935547,230846000,0.0,0.0
2014-05-16,18.85714833963773,19.142266230405582,18.75367379113375,19.141626358032227,276256400,0.0,0.0
2014-05-19,19.152515838969222,19.456213948713405,19.13585691748029,19.368436813354492,317755200,0.0,0.0
2014-05-20,19.365872843704125,19.426419474118422,19.244777871987107,19.37228012084961,234836000,0.0,0.0
2014-05-21,19.344087776278947,19.43602920771658,19.28738551310498,19.42353630065918,196859600,0.0,0.0
2014-05-22,19.432829199388333,19.53694532750835,19.35274079131297,19.45429229736328,200760000,0.0,0.0
2014-05-23,19.453648013217474,19.693275021637447,19.428660490313195,19.674053192138672,232209600,0.0,0.0
2014-05-27,19.7301168758952,20.049832295253776,19.722108207466082,20.042465209960938,348866000,0.0,0.0
2014-05-28,20.054957245309275,20.177013726739304,19.983197457801115,19.99056625366211,315481600,0.0,0.0
2014-05-29,20.11357854280041,20.402540673794945,20.111015632653164,20.354806900024414,376474000,0.0,0.0
2014-05-30,20.43810134487304,20.636401827865242,20.14721786428246,20.278564453125,564020800,0.0,0.0
2014-06-02,20.309327625885864,20.33719800403982,19.942198268870012,20.139217376708984,369350800,0.0,0.0
2014-06-03,20.133127665955907,20.462454896733128,20.126400452081786,20.42401123046875,292709200,0.0,0.0
2014-06-04,20.42080405394547,20.755576971035225,20.37819609405748,20.6572265625,335482000,0.0,0.0
2014-06-05,20.701436877842237,20.802990073828994,20.586429256375084,20.738277435302734,303805600,0.0,0.0
2014-06-06,20.81996883303196,20.86353831391974,20.646015978253665,20.68125343322754,349938400,0.0,0.0
2014-06-09,20.78793457180257,21.052549134329436,20.574898163457302,21.012184143066406,301660000,0.0,7.0
2014-06-10,21.24316531029099,21.314925113684854,20.983034953682818,21.13552474975586,251108000,0.0,0.0
2014-06-11,21.108613730666267,21.249892070279092,20.960609887844058,21.048067092895508,182724000,0.0,0.0
2014-06-12,21.088434065632274,21.106374445501498,20.608540024907708,20.69599723815918,218996000,0.0,0.0
2014-06-13,20.675810699423533,20.729631830743823,20.379801320716034,20.469501495361328,218100000,0.0,0.0
2014-06-16,20.521078818907355,20.79914780922177,20.50762268117918,20.675809860229492,142244000,0.0,0.0
2014-06-17,20.700475517030856,20.787932705099248,20.586109477795763,20.64889907836914,118904000,0.0,0.0
2014-06-18,20.691513051546266,20.69599900234036,20.485203798130236,20.67133140563965,134056000,0.0,0.0
